Column 1,Column 2
archäologische,2
archäologischen,2
archäologisches,2
archéographiques,1
archéogéographie,1
archéologie,4
archéologies,1
archéologique,17
archéologiques,4
archéonil,1
archéopages,1
archéosciences,1
arctos,1
are,4
areas,1
arena,1
argentina,1
argolid,1
argos,1
arguments,1
arheografski,1
arheologice,3
arheologie,3
arheologieistoriemuzeologie,1
arheologija,1
arheologiju,1
arheološki,1
arheološkog,3
arheovest,1
ariadne,2
arisc,1
aristarchus,1
aristonothos,1
arit,1
arizona,2
ark,1
arkeologlar,1
arkeoloji,4
arkeolojik,2
arkeometri,1
arkeopark,1
arkeos,1
arkeotek,1
arkheologiyot,1
arma,1
armas,1
armed,1
armenia,1
armenian,2
aroura,2
arqueologia,6
arqueología,1
arqueología,25
arqueològica,1
arqueológicas,1
arqueológico,2
arqueomurcia,1
arqueouca,1
arqueoweb,1
arquitectura,3
ars,1
arscan,2
arshama,1
arslantepemalatya,1
art,32
arta,1
artamonoff,1
arte,4
artefacts,1
artes,1
arthur,1
arti,1
articles,12
artifacts,1
arts,3
artstor,5
arys,1
as,8
asae,1
ascsa,4
asdiwal,1
asfar,1
ashkelon,1
ashurnasirpal,1
asia,8
asiae,1
asian,9
asiatic,1
asiatica,1
asiatiques,1
asiatische,1
asie,1
asmosia,1
asociacion,1
asociación,1
asor,17
asors,1
aspro,1
asseria,1
assets,1
assikka,1
assistance,1
associates,2
association,31
associations,2
associazione,1
assyria,2
assyrian,9
assyriennes,1
assyriological,2
assyriologiques,2
assyriologists,1
assyriology,1
assyrobabylonienne,1
astene,1
astrological,1
astronomy,1
aséanie,1
at,122
atene,1
athanasius,1
athar,1
athena,1
athenian,4
athenians,1
athens,15
atherya,1
atla,1
atlas,18
atlánticamediterránea,1
attalus,1
attested,1
atti,2
attic,3
attica,1
attinger,1
attische,1
attività,1
au,8
auction,1
auctores,1
auctorum,1
audio,3
audiovideo,1
auf,1
augustae,1
augustan,1
augustiniennes,1
aula,2
aura,1
aural,1
aus,6
ausgewählte,1
ausgrabungen,3
ausgrabungsprojekt,2
australasian,1
australian,3
auteurs,1
authorities,1
authority,2
authors,4
automatique,1
autónoma,1
auxiliary,1
available,8
avalon,1
avant,1
avestan,1
avi,1
aviv,1
award,1
awol,11
axis,1
aylward,1
ayyoubides,1
azerbaijan,2
azoria,1
b,2
babelao,1
babylon,2
babylonia,1
babyloniaca,1
babylonian,7
back,1
backdirt,1
backlist,16
backup,1
bactria,1
bactriane,1
bad,1
baex,1
baghdad,1
bagl,1
bahriyat,1
baih,1
baked,1
baker,1
balkan,2
balkaniques,2
balkanologie,1
balneorient,1
banatului,1
bank,4
banque,2
barack,1
barcinoensis,1
barcinonensis,1
barrington,1
bas,1
base,5
based,1
basel,2
bases,1
basilica,1
basor,2
bastan,1
bayerische,1
bayesian,1
bbr,1
bc,3
bcnh,1
bdtns,2
be,3
bearbeitung,1
beatty,1
beauvais,1
beazley,1
beck,1
becomes,1
beds,1
before,3
beginning,2
beginnings,1
behemoth,1
beinecke,1
beiträge,2
belge,1
bell,1
belleslettres,4
belonged,1
ben,1
benaissas,1
benefit,1
bengal,1
beni,3
benno,2
benthos,1
berenike,1
berger,1
berichte,1
berkeley,2
berlin,6
berliner,3
bern,1
bernard,1
berol,1
berolinenseargentoratense,1
bes,1
best,2
beta,2
beth,1
between,4
beycesultan,1
beyond,5
bezae,1
bezeugten,1
bg²,1
bha,2
biae,1
biasa,2
bibar,1
bibelgesellschaft,1
bibellexikon,1
bibiography,1
bible,16
biblia,1
biblica,2
biblical,26
biblicalstudiesorguk,1
biblicists,1
biblicum,1
biblijski,1
biblindex,1
bibliographia,1
bibliographic,2
bibliographical,2
bibliographie,3
bibliographies,14
bibliographique,2
bibliographische,1
bibliography,29
bibliográfico,1
biblioteca,5
bibliotheca,7
bibliothek,1
bibliotheque,1
bibliothèque,1
biblique,2
bibliques,1
bica,1
bifao,2
big,1
bild,1
bildi,1
bilimler,2
bio,2
bioarchaeology,1
biological,1
bioscs,1
bipab,1
bir,1
birds,1
birmingham,3
birthday,2
bisanzio,1
bismaya,1
bites,1
bizantinística,1
black,6
bler,1
blog,9
blogger,1
blogiversary,1
blätter,1
bm,1
bmcr,1
bmsaes,3
bnj,1
bns,1
board,1
boatwright,1
bodleian,3
bodmer,1
boeotia,1
bogazkoy,1
bois,1
boletín,1
boletín,7
bollettino,7
bolskan,1
bonecommons,1
bonn,1
bonner,2
book,32
books,31
borbonico,1
borea,1
boris,1
born,1
bosphore,1
bosporan,1
bosporus,2
boston,2
botoşani,1
boubon,1
bowl,1
bowls,1
boğazköytexten,1
braccis,1
braidwoods,1
brak,1
brasil,1
brasileira,1
breaking,1
bridge,1
brills,1
brindisine,1
bristol,1
britain,5
british,33
bronze,5
brooklyn,3
brown,1
browser,2
brukenthal,1
brunensia,1
brunner,1
bruyère,1
brèves,2
bsaa,1
bseaa,1
bsfe,1
buch,1
buddhica,1
buddhist,4
budé,1
builders,1
building,3
buletinul,3
bulgaria,1
bulgarian,1
bulletin,74
bulletins,1
bullettino,1
bullletin,1
bundle,1
buruzko,1
busters,1
but,2
by,13
byblos,2
byrsa,1
bysantinska,1
byu,1
byzantina,2
byzantine,19
byzantines,1
byzantinists,1
byzantion,1
byzantium,3
c,1
caa,1
caari,1
caballos,1
cachette,1
caelestes,1
caere,1
caesaraugusta,1
cagliari,1
cahier,1
cahiers,13
caire,2
cairn,1
cairo,6
calcolatori,1
calendar,2
california,5
call,7
calligraphies,1
callythea,1
cambridge,4
camena,1
camenae,1
camnes,1
campbell,3
campā,1
cams,1
can,1
canada,1
canadian,3
canadienne,1
canadiobyzantina,1
cange,1
canon,2
canonique,1
cantiere,1
canvass,1
capidava,1
capitale,1
capitolina,1
cappellis,1
capture,1
caravan,1
card,1
careers,1
carlsberg,1
carte,1
cartographic,1
cartography,1
carved,1
case,3
cassel,1
cassinati,1
cassiterite,1
castro,1
catacomb,1
catalana,1
catalans,1
catalog,4
cataloging,1
catalogs,1
catalogue,21
catalogues,4
catalogus,1
catalonia,1
catherine,1
catholica,1
catullus,1
caucasiologists,1
caucasus,1
caucus,1
cbrl,1
ccb,1
cdli,33
cdln,2
cedae,1
cedaecnrs,1
cedopal,3
cefael,1
cehao,2
ceipac,1
celtic,3
census,1
centcoms,1
centenary,1
center,22
centers,1
centopagine,1
central,6
centre,18
centro,1
century,3
cerafim,1
ceramic,1
ceramics,3
cercano,1
cercetări,3
cercetărilor,1
cercle,1
cercurilor,1
ceroart,1
cerri,1
certo,1
cesras,1
ch,1
champollion,1
change,2
changes,1
channel,2
chant,1
characters,1
charles,1
charred,1
check,1
checklist,1
chersonesos,1
chersonessitana,1
chester,1
chicago,15
chilena,1
chileno,1
china,2
chinese,6
chogha,1
choice,1
christian,5
christiana,2
christianity,7
christianization,1
christianorum,2
christians,1
christine,1
christliche,1
christlichen,1
chronicle,1
chronicles,2
chronika,2
chronique,5
chroniques,2
chronographic,1
chronologie,1
